[Name]
TurbKE and TurbFreq Quantities

[Data]
"Accumulated Timestep","RMS K-TurbKE","RMS O-TurbFreq"
610,1.90691355e-06,2.28396129e-06
611,2.02078400e-06,2.51299412e-06
612,2.13021031e-06,2.75178218e-06
613,2.25202689e-06,2.79995902e-06
614,2.33606261e-06,2.56461431e-06
615,2.32666389e-06,1.89690184e-06
616,2.20908555e-06,6.97717951e-07
617,2.03635977e-06,1.24940118e-06
618,1.92506923e-06,3.41940518e-06
619,2.37843551e-06,5.40977589e-06
620,3.12887664e-06,6.54026871e-06
621,3.72109912e-06,6.49554659e-06
622,3.92674701e-06,5.24425923e-06
623,3.72967679e-06,3.30773719e-06
624,3.23414133e-06,1.27117767e-06
625,2.65308472e-06,2.07353037e-06
626,1.97273971e-06,3.23991640e-06
627,1.55198370e-06,2.98925784e-06
628,1.45777938e-06,2.38189659e-06
629,1.90718799e-06,2.26125326e-06
630,1.77765628e-06,2.11009365e-06
631,1.69690600e-06,1.97217832e-06
632,1.77151162e-06,1.99796000e-06
633,1.86613715e-06,2.18043101e-06
634,1.97984468e-06,2.45997671e-06
635,2.08838196e-06,2.66039456e-06
636,2.21021469e-06,2.78149560e-06
637,2.31461445e-06,2.66450979e-06
638,2.33941182e-06,2.22058270e-06
639,2.26514999e-06,1.14723855e-06
640,2.10795156e-06,5.75175477e-07
641,1.93249207e-06,2.64650248e-06
642,2.16101489e-06,4.77861977e-06
643,2.87152784e-06,6.28390126e-06
644,3.57749946e-06,6.66999449e-06
645,3.91954563e-06,5.76171533e-06
646,3.84092891e-06,4.05227274e-06
647,3.43261286e-06,1.89584478e-06
648,2.84678003e-06,1.39147528e-06
649,2.20353490e-06,3.06243328e-06
650,1.66480640e-06,3.15450052e-06
651,1.47590583e-06,2.56000408e-06
652,1.74150568e-06,2.27456712e-06
653,1.66283394e-06,2.18766081e-06
654,1.78907055e-06,2.00501086e-06
655,1.74537740e-06,1.97605664e-06
656,1.83760608e-06,2.14009719e-06
657,1.94761697e-06,2.37430231e-06
658,2.05874335e-06,2.62106960e-06
659,2.17618231e-06,2.76126502e-06
660,2.29316197e-06,2.74396234e-06
661,2.35041421e-06,2.39655333e-06
662,2.31107902e-06,1.62276012e-06
663,2.16822377e-06,2.65020731e-07
664,1.97580016e-06,1.92967650e-06
665,1.99479996e-06,4.11171914e-06
666,2.61108380e-06,5.89888123e-06
667,3.37009874e-06,6.66301230e-06
668,3.84489022e-06,6.19641605e-06
669,3.91094591e-06,4.73073897e-06
670,3.59985506e-06,2.61571427e-06
671,3.04959985e-06,1.08587801e-06
672,2.45437036e-06,2.65148606e-06
673,1.80416032e-06,3.26584836e-06
674,1.49645575e-06,2.81706730e-06
675,1.50617325e-06,2.30020487e-06
676,1.78082541e-06,2.23801749e-06
677,1.85687838e-06,2.06033542e-06
678,1.71693034e-06,1.97192230e-06
679,1.80662255e-06,2.05037736e-06
680,1.90979927e-06,2.28836552e-06
681,2.02351112e-06,2.51564279e-06
